"Client","Country","Date Month","Uniques","Time Watched Minutes","Avg Min per Unique","Sessions"
"Canela","Turks and Caicos Islands","Apr-2024",4,0.9999999999999999,0.25,5
"Canela","U.S. Virgin Islands","Apr-2024",31,249.28333333333333,8.041397849462365,99
"Canela","Uganda","Apr-2024",38,56.01666666666665,1.4741228070175438,50
"Canela","Ukraine","Apr-2024",58,5777.883333333334,99.61867816091954,124
"Canela","United Arab Emirates","Apr-2024",163,139.3499999999999,0.8549079754601226,218
"Canela","United Kingdom","Apr-2024",718,1472.9999999999966,2.051532033426184,1051
"Canela","United States","Apr-2024",642627,16870550.833359674,26.25247746100511,1679667
"Canela","Unknown","Apr-2024",30354,818647.9166667598,26.970017680261797,108254
"Canela","Uruguay","Apr-2024",4189,65060.25000000046,15.531212699928384,15281
"Canela","Uzbekistan","Apr-2024",62,123.46666666666657,1.9913978494623656,142
"Canela","Venezuela","Apr-2024",43168,759915.9500000633,17.603686758710154,175273
"Canela","Vietnam","Apr-2024",24,51.55000000000001,2.1479166666666667,37
"Canela","Yemen","Apr-2024",50,37.46666666666667,0.7493333333333334,65
"Canela","Zambia","Apr-2024",47,116.4833333333333,2.4783687943262414,90
"Canela","Zimbabwe","Apr-2024",5,2.433333333333333,0.48666666666666664,5
"Canela","Afghanistan","Aug-2024",34,11.733333333333338,0.34509803921568627,41
"Canela","Albania","Aug-2024",82,48.11666666666663,0.5867886178861789,118
"Canela","Algeria","Aug-2024",766,721.6166666666658,0.9420583115752829,1053
"Canela","American Samoa","Aug-2024",1,0.05,0.05,1
"Canela","Andorra","Aug-2024",5,17.716666666666665,3.543333333333333,32
"Canela","Angola","Aug-2024",198,232.78333333333342,1.1756734006734006,273
"Canela","Anguilla","Aug-2024",1,0.13333333333333333,0.13333333333333333,1
"Canela","Antigua and Barbuda","Aug-2024",6,2.0666666666666664,0.3444444444444445,9
"Canela","Argentina","Aug-2024",34015,519497.2166665833,15.272591993728257,120673
"Canela","Armenia","Aug-2024",14,14.25,1.0178571428571428,21
"Canela","Aruba","Aug-2024",13,13.916666666666666,1.0705128205128205,15
"Canela","Australia","Aug-2024",816,3706.0666666667007,4.5417483660130715,1879
"Canela","Austria","Aug-2024",43,307.96666666666675,7.162015503875969,62
"Canela","Azerbaijan","Aug-2024",42,19.750000000000014,0.47023809523809523,77
"Canela","Bahamas","Aug-2024",10,4.5,0.45,10
"Canela","Bahrain","Aug-2024",22,15.083333333333336,0.6856060606060607,35
"Canela","Bangladesh","Aug-2024",346,319.26666666666694,0.9227360308285163,515
"Canela","Barbados","Aug-2024",38,137.9,3.628947368421053,55
"Canela","Belarus","Aug-2024",12,9,0.75,15
"Canela","Belgium","Aug-2024",117,24802.16666666657,211.98433048433048,4176
"Canela","Belize","Aug-2024",198,16996.48333333331,85.84082491582491,468
"Canela","Benin","Aug-2024",16,19.35,1.209375,22
"Canela","Bermuda","Aug-2024",1,0.4,0.4,1
"Canela","Bolivia","Aug-2024",15483,343926.53333331866,22.21317143533768,58420
"Canela","Bosnia and Herzegovina","Aug-2024",28,49.38333333333329,1.7636904761904761,89
"Canela","Botswana","Aug-2024",6,1.5,0.25,8
"Canela","Brazil","Aug-2024",3967,323333.59999996866,81.50582304008066,61886
"Canela","Brunei","Aug-2024",7,148.79999999999998,21.25714285714286,13
"Canela","Bulgaria","Aug-2024",101,362.80000000000103,3.592079207920792,288
"Canela","Burkina Faso","Aug-2024",35,21.416666666666664,0.611904761904762,46
