"Country","Date Month","Video Type","Uniques","Time Watched Minutes","Avg Min per Unique","Sessions"
"Angola","Dec-2024","Bumper / Promo",2,4,2,4
"Angola","Nov-2024","Bumper / Promo",3,1.5,0.5,3
"Angola","Oct-2024","Bumper / Promo",5,10.850000000000001,2.17,8
"Angola","Sep-2024","Bumper / Promo",6,6.833333333333334,1.1388888888888888,8
"Antigua and Barbuda","Aug-2024","Bumper / Promo",1,0.4,0.4,1
"Argentina","Aug-2024","Bumper / Promo",3150,5304.233333333356,1.683883597883598,5604
"Argentina","Dec-2024","Bumper / Promo",1091,3184.9000000000074,2.919248395967003,2147
"Argentina","Jan-2025","Bumper / Promo",1113,3587.466666666672,3.2232404911650194,1921
"Argentina","Nov-2024","Bumper / Promo",1858,5263.116666666683,2.8326785073555794,3618
"Argentina","Oct-2024","Bumper / Promo",2844,6634.066666666676,2.3326535396155648,5060
"Argentina","Sep-2024","Bumper / Promo",3330,6628.666666666677,1.9905905905905907,5999
"Armenia","Dec-2024","Bumper / Promo",1,0.1,0.1,1
