"Country","Date Month","Client","Uniques","Time Watched Minutes","Avg Min per Unique","Video Starts","Sessions"
"São Tomé and Príncipe","Aug-2024","Canela",5,0,0,0,6
"São Tomé and Príncipe","Jan-2025","Canela",1,0,0,0,1
"São Tomé and Príncipe","Jun-2024","Canela",2,0,0,0,3
"São Tomé and Príncipe","May-2024","Canela",2,0,0,0,7
"São Tomé and Príncipe","Oct-2024","Canela",1,0,0,0,1
"Taiwan","Apr-2024","Canela",22,0,0,1,77
"Taiwan","Aug-2024","Canela",20,0,0,0,42
"Taiwan","Dec-2024","Canela",2,0,0,0,2
"Taiwan","Feb-2024","Canela",11,0,0,0,13
"Taiwan","Jan-2024","Canela",7,0,0,0,28
"Taiwan","Jan-2025","Canela",1,0,0,0,1
"Taiwan","Jul-2024","Canela",33,0,0,0,47
"Taiwan","Jun-2024","Canela",52,0,0,0,69
"Taiwan","Mar-2024","Canela",15,0.6333333333333333,0.042222222222222223,1,28
"Taiwan","May-2024","Canela",23,0,0,0,44
"Taiwan","Nov-2024","Canela",6,0,0,0,10
"Taiwan","Oct-2024","Canela",24,0.7333333333333333,0.030555555555555555,2,49
"Taiwan","Sep-2024","Canela",5,0,0,0,5
"Tajikistan","Apr-2024","Canela",6,0,0,0,6
"Tajikistan","Aug-2024","Canela",3,0,0,0,9
"Tajikistan","Dec-2024","Canela",1,0,0,0,1
"Tajikistan","Feb-2024","Canela",2,0.5833333333333334,0.2916666666666667,4,6
"Tajikistan","Jan-2025","Canela",1,0,0,0,2
"Tajikistan","Jul-2024","Canela",1,0,0,0,1
"Tajikistan","Jun-2024","Canela",6,0,0,0,9
"Tajikistan","Mar-2024","Canela",2,0,0,0,3
"Tajikistan","May-2024","Canela",4,0,0,0,4
"Tajikistan","Oct-2024","Canela",2,0,0,0,2
"Tajikistan","Sep-2024","Canela",1,0,0,0,2
"Tanzania","Apr-2024","Canela",25,1.25,0.05,2,296
"Tanzania","Aug-2024","Canela",16,0,0,0,19
"Tanzania","Dec-2024","Canela",1,0,0,0,7
"Tanzania","Feb-2024","Canela",9,0.5166666666666667,0.057407407407407414,4,231
"Tanzania","Jan-2024","Canela",6,0,0,0,233
"Tanzania","Jan-2025","Canela",1,0,0,0,1
"Tanzania","Jul-2024","Canela",22,0,0,0,31
